"Edicao (PTBR)","Edicao (EN)","Edicao (Sigla)","Card (PT)","Card (EN)","Quantidade","Qualidade (M NM SP MP HP D)","Idioma (BR EN DE ES FR IT JP KO RU TW)","Raridade (M R U C)","Cor (W U B R G M A L)","Extras","Card #","Comentario"
"","Adventures in the Forgotten Realms","afr","Djinni Vidente do Vento","Djinni Windseer","1","M","EN","C","U","","55",""
"","Adventures in the Forgotten Realms","afr","Dragao Azul","Blue Dragon","1","NM","EN","U","U","","49",""
"","Adventures in the Forgotten Realms","afr","Dragao Branco","White Dragon","1","M","EN","U","W","","41",""
"","Adventures in the Forgotten Realms","afr","Dragao de Ouro Adulto","Adult Gold Dragon","1","NM","EN","R","M","","216",""
"","Adventures in the Forgotten Realms","afr","Dragao Negro","Black Dragon","1","NM","EN","U","B","","90",""
"","Adventures in the Forgotten Realms","afr","Dragao Vermelho","Red Dragon","1","NM","EN","U","R","","160",""
"","Adventures in the Forgotten Realms","afr","Draider","Drider","1","NM","EN","U","B","","98",""
"","Adventures in the Forgotten Realms","afr","Driade de Nevenunca","Neverwinter Dryad","1","M","EN","C","G","","195",""
"","Adventures in the Forgotten Realms","afr","Druida do Circulo da Lua","Circle of the Moon Druid","1","M","EN","C","G","","177",""
"","Adventures in the Forgotten Realms","afr","Duelo Compelido","Compelled Duel","1","M","EN","C","G","","178",""
"","Adventures in the Forgotten Realms","afr","Elemental do Culto da Terra","Earth-Cult Elemental","1","M","EN","C","R","","141",""
"","Adventures in the Forgotten Realms","afr","Elemental do Culto do Ar","Air-Cult Elemental","1","M","EN","C","U","","45",""
"","Adventures in the Forgotten Realms","afr","Emblema - Zariel, Arquiduquesa de Avernus","Emblem - Zariel, Archduke of Avernus","1","M","EN","C","S","","T19",""
"","Adventures in the Forgotten Realms","afr","Encontrar o Caminho","Find the Path","1","M","EN","C","G","","183",""
"","Adventures in the Forgotten Realms","afr","Enxame de Goblins","Swarming Goblins","1","M","EN","C","R","","162",""
"","Adventures in the Forgotten Realms","afr","Errante Sinistro","Grim Wanderer","1","NM","EN","U","B","","107",""
"","Adventures in the Forgotten Realms","afr","Escolha sua Arma","Choose Your Weapon","1","NM","PT","U","G","","175",""
"","Adventures in the Forgotten Realms","afr","Escudo do Paladino","Paladin's Shield","1","M","EN","C","W","","30",""
"","Adventures in the Forgotten Realms","afr","Esfera de Aniquilacao","Sphere of Annihilation","1","NM","EN","R","B","","121",""
"","Adventures in the Forgotten Realms","afr","Espada Dancarina","Dancing Sword","1","M","EN","R","W","","8",""
"","Adventures in the Forgotten Realms","afr","Espia da Lamina Espiritual","Soulknife Spy","1","M","EN","C","U","","75",""
"","Adventures in the Forgotten Realms","afr","Espolio da Cacada","Spoils of the Hunt","1","NM","PT","C","G","","205",""
"","Adventures in the Forgotten Realms","afr","Espreitador Lobo Atroz","Dire Wolf Prowler","1","NM","PT","C","G","","179",""
"","Adventures in the Forgotten Realms","afr","Espreitador Sombrio","Gloom Stalker","1","M","EN","C","W","","16",""
"","Adventures in the Forgotten Realms","afr","Esqueleto 1/1 // Mina Perdida de Fandelver","Skeleton 1/1 // Lost Mine of Phandelver","1","M","EN","C","S","","T06T21",""
"","Adventures in the Forgotten Realms","afr","Esqueletos Chocalhantes","Clattering Skeletons","1","NM","PT","C","B","","93",""
"","Adventures in the Forgotten Realms","afr","Estrangulador a Espreita","Lurking Roper","1","NM","EN","U","G","","194",""
"","Adventures in the Forgotten Realms","afr","Estrela da Manha dos Goblins","Goblin Morningstar","1","M","EN","U","R","","145",""
"","Adventures in the Forgotten Realms","afr","Exploradora de Masmorras Veterana","Veteran Dungeoneer","1","M","EN","C","W","","40",""
"","Adventures in the Forgotten Realms","afr","Falcao do Guardiao","Ranger's Hawk","1","M","EN","C","W","","37",""
"","Adventures in the Forgotten Realms","afr","Farideh, Escolhida do Diabo","Farideh, Devil's Chosen","1","NM","PT","U","M","","221",""
"","Adventures in the Forgotten Realms","afr","Feiticeira da Mente Aberrante","Aberrant Mind Sorcerer","1","NM","PT","U","U","","44",""
"","Adventures in the Forgotten Realms","afr","Ferramentas de Ladrao","Thieves' Tools","1","M","EN","C","B","","122",""
"","Adventures in the Forgotten Realms","afr","Floresta (#278)","Forest (#278)","1","M","EN","C","L","","278",""
"","Adventures in the Forgotten Realms","afr","Floresta (#279)","Forest (#279)","1","M","EN","C","L","","279",""
"","Adventures in the Forgotten Realms","afr","Floresta (#280)","Forest (#280)","1","M","EN","C","L","","280",""
"","Adventures in the Forgotten Realms","afr","Floresta (#281)","Forest (#281)","1","M","EN","C","L","","281",""
"","Adventures in the Forgotten Realms","afr","Flunf","Flumph","1","NM","PT","R","W","","15",""
"","Adventures in the Forgotten Realms","afr","Fogo do Dragao","Dragon's Fire","1","M","EN","C","R","","139",""
"","Adventures in the Forgotten Realms","afr","Forasteira Intrepida","Intrepid Outlander","1","NM","EN","U","G","","191",""
"","Adventures in the Forgotten Realms","afr","Forca do Touro","Bull's Strength","1","NM","PT","C","G","","174",""
"","Adventures in the Forgotten Realms","afr","Gargula do Claustro","Cloister Gargoyle","1","M","EN","U","W","","7",""
"","Adventures in the Forgotten Realms","afr","Garras do Demogorgon","Demogorgon's Clutches","1","M","EN","U","B","","96",""
"","Adventures in the Forgotten Realms","afr","Giganta do Gelo do Crioscudo","Rimeshield Frost Giant","1","M","EN","C","U","","69",""
"","Adventures in the Forgotten Realms","afr","Gigante da Colina Papa-rebanhos","Hill Giant Herdgorger","1","M","EN","C","G","","187",""
"","Adventures in the Forgotten Realms","afr","Goblin 1/1 // Masmorra do Mago Louco","Goblin 1/1 // Dungeon of the Mad Mage","1","M","EN","C","S","","T12T20",""
"","Adventures in the Forgotten Realms","afr","Golem de Ferro","Iron Golem","1","NM","PT","U","A","","247",""
"","Adventures in the Forgotten Realms","afr","Guardia de Elturgard","Elturgard Ranger","1","NM","PT","C","G","","182",""
"","Adventures in the Forgotten Realms","afr","Guia Pixie","Pixie Guide","1","NM","PT","C","U","","66",""
"","Adventures in the Forgotten Realms","afr","Hama Pashar, Buscadora de Ruinas","Hama Pashar, Ruin Seeker","1","NM","EN","U","M","","224",""
"","Adventures in the Forgotten Realms","afr","Herborista Escamosa","Scaled Herbalist","1","M","EN","C","G","","204",""
"","Adventures in the Forgotten Realms","afr","Ilha (#266)","Island (#266)","1","M","EN","C","L","","266",""
"","Adventures in the Forgotten Realms","afr","Ilha (#267)","Island (#267)","1","M","EN","C","L","","267",""
"","Adventures in the Forgotten Realms","afr","Ilha (#268)","Island (#268)","1","M","EN","C","L","","268",""
"","Adventures in the Forgotten Realms","afr","Ilha (#269)","Island (#269)","1","M","EN","C","L","","269",""
"","Adventures in the Forgotten Realms","afr","Investigador Arcano","Arcane Investigator","1","M","EN","C","U","","46",""
"","Adventures in the Forgotten Realms","afr","Ladino Pe-ligeiro","Lightfoot Rogue","1","NM","PT","U","B","","111",""
"","Adventures in the Forgotten Realms","afr","Ladra da Guilda","Guild Thief","1","NM","EN","U","U","","61",""
"","Adventures in the Forgotten Realms","afr","Ladra de Tesouros","Hoard Robber","1","M","EN","C","B","","110",""
"","Adventures in the Forgotten Realms","afr","Lamina Maldita de Aluguel","Hired Hexblade","1","M","EN","C","B","","109",""
"","Adventures in the Forgotten Realms","afr","Livro de Magias do Mago","Wizard's Spellbook","1","NM","EN","R","U","","82",""
"","Adventures in the Forgotten Realms","afr","Maca +2","+2 Mace","1","M","EN","C","W","","1",""
"","Adventures in the Forgotten Realms","afr","Machado Grande","Greataxe","1","M","EN","C","A","","245",""
"","Adventures in the Forgotten Realms","afr","Manobra de Reagrupamento","Rally Maneuver","1","M","EN","U","W","","36",""
"","Adventures in the Forgotten Realms","afr","Manticora","Manticore","1","M","EN","C","B","","113",""
"","Adventures in the Forgotten Realms","afr","Maos Flamejantes","Burning Hands","1","NM","PT","U","R","","135",""
"","Adventures in the Forgotten Realms","afr","Mapa da Masmorra","Dungeon Map","1","NM","PT","U","A","","242",""
"","Adventures in the Forgotten Realms","afr","Marca do Predador","Hunter's Mark","1","NM","PT","U","G","","188",""
"","Adventures in the Forgotten Realms","afr","Masmorra do Mago Louco (Oversize)","Dungeon of the Mad Mage (Oversize)","1","M","EN","C","S","","TOV20",""
"","Adventures in the Forgotten Realms","afr","Menestrel da Bravura","Valor Singer","1","M","EN","C","R","","165",""
"","Adventures in the Forgotten Realms","afr","Mercenario Exausto","Jaded Sell-Sword","1","M","EN","C","R","","152",""
"","Adventures in the Forgotten Realms","afr","Mimico","Mimic","1","NM","PT","C","A","","249",""
"","Adventures in the Forgotten Realms","afr","Mina Perdida de Fandelver (Oversize)","Lost Mine of Phandelver (Oversize)","1","M","EN","C","S","","TOV21",""
"","Adventures in the Forgotten Realms","afr","Misseis Magicos","Magic Missile","1","NM","EN","U","R","","154",""
"","Adventures in the Forgotten Realms","afr","Monge da Mao Espalmada","Monk of the Open Hand","1","NM","PT","U","W","","25",""
"","Adventures in the Forgotten Realms","afr","Monja Meio-elfa","Half-Elf Monk","1","NM","PT","C","W","","19",""
"","Adventures in the Forgotten Realms","afr","Monstro da Ferrugem","Rust Monster","1","NM","EN","U","R","","161",""
"","Adventures in the Forgotten Realms","afr","Montanha (#274)","Mountain (#274)","1","M","EN","C","L","","274",""
"","Adventures in the Forgotten Realms","afr","Montanha (#275)","Mountain (#275)","1","M","EN","C","L","","275",""
"","Adventures in the Forgotten Realms","afr","Montanha (#276)","Mountain (#276)","1","M","EN","C","L","","276",""
"","Adventures in the Forgotten Realms","afr","Montanha (#277)","Mountain (#277)","1","M","EN","C","L","","277",""
"","Adventures in the Forgotten Realms","afr","O Livro da Vil Escuridao","The Book of Vile Darkness","1","M","EN","M","B","","91",""
"","Adventures in the Forgotten Realms","afr","Observador Funesto","Baleful Beholder","1","M","EN","C","B","","89",""
"","Adventures in the Forgotten Realms","afr","Ogro Acumulador","Hoarding Ogre","1","M","EN","C","R","","146",""
"","Adventures in the Forgotten Realms","afr","Olhos do Observador","Eyes of the Beholder","1","NM","PT","C","B","","101",""
"","Adventures in the Forgotten Realms","afr","Orcus, Principe da Morte-vida","Orcus, Prince of Undeath","1","M","EN","R","M","","229",""
"","Adventures in the Forgotten Realms","afr","Paladina Devotada","Devoted Paladin","1","NM","PT","C","W","","11",""
"","Adventures in the Forgotten Realms","afr","Paladina Resoluta","Steadfast Paladin","1","M","EN","C","W","","38",""
"","Adventures in the Forgotten Realms","afr","Pantano (#270)","Swamp (#270)","1","M","EN","C","L","","270",""
"","Adventures in the Forgotten Realms","afr","Pantano (#271)","Swamp (#271)","1","M","EN","C","L","","271",""
"","Adventures in the Forgotten Realms","afr","Pantano (#272)","Swamp (#272)","1","M","EN","C","L","","272",""
"","Adventures in the Forgotten Realms","afr","Pantano (#273)","Swamp (#273)","1","M","EN","C","L","","273",""
"","Adventures in the Forgotten Realms","afr","Pantera Deslocadora","Displacer Beast","1","NM","EN","U","U","","54",""
"","Adventures in the Forgotten Realms","afr","Pastora Silvestre","Sylvan Shepherd","1","M","EN","C","G","","206",""
"","Adventures in the Forgotten Realms","afr","Pe na Porta","Kick in the Door","1","M","EN","C","R","","153",""
"","Adventures in the Forgotten Realms","afr","Pegaso de Arborea","Arborea Pegasus","1","NM","PT","C","W","","2",""
"","Adventures in the Forgotten Realms","afr","Percepcao Subita","Sudden Insight","1","M","EN","U","U","","77",""
"","Adventures in the Forgotten Realms","afr","Planicie (#262)","Plains (#262)","1","M","EN","C","L","","262",""
"","Adventures in the Forgotten Realms","afr","Planicie (#263)","Plains (#263)","1","M","EN","C","L","","263",""
"","Adventures in the Forgotten Realms","afr","Planicie (#264)","Plains (#264)","1","M","EN","C","L","","264",""
"","Adventures in the Forgotten Realms","afr","Planicie (#265)","Plains (#265)","1","M","EN","C","L","","265",""
"","Adventures in the Forgotten Realms","afr","Pocao de Cura","Potion of Healing","1","M","EN","C","W","","34",""
"","Adventures in the Forgotten Realms","afr","Poder de Persuasao","Power of Persuasion","1","NM","EN","U","U","","67",""
"","Adventures in the Forgotten Realms","afr","Polimorfia de Mordenkainen","Mordenkainen's Polymorph","1","NM","PT","C","U","","65",""
"","Adventures in the Forgotten Realms","afr","Porta Secreta","Secret Door","1","M","EN","C","U","","71",""
"","Adventures in the Forgotten Realms","afr","Preco da Lealdade","Price of Loyalty","1","M","EN","C","R","","159",""
"","Adventures in the Forgotten Realms","afr","Presalamina Yuan-Ti","Yuan-Ti Fang-Blade","1","M","EN","C","B","","128",""
"","Adventures in the Forgotten Realms","afr","Prole Vampirica","Vampire Spawn","1","M","EN","C","B","","123",""
"","Adventures in the Forgotten Realms","afr","Queda Abrupta","Precipitous Drop","1","NM","PT","C","B","","115",""
"","Adventures in the Forgotten Realms","afr","Quinze Metros de Corda","Fifty Feet of Rope","1","NM","PT","U","A","","244",""
"","Adventures in the Forgotten Realms","afr","Raio de Gelo","Ray of Frost","1","NM","PT","U","U","","68",""
"","Adventures in the Forgotten Realms","afr","Raio do Enfraquecimento","Ray of Enfeeblement","1","NM","PT","U","B","","116",""
"","Adventures in the Forgotten Realms","afr","Rapieira de Duelo","Dueling Rapier","1","M","EN","C","R","","140",""
"","Adventures in the Forgotten Realms","afr","Rastejador de Masmorras","Dungeon Crawler","1","M","EN","U","B","","99",""
"","Adventures in the Forgotten Realms","afr","Rebento de Estigia","Scion of Stygia","1","M","EN","C","U","","70",""
"","Adventures in the Forgotten Realms","afr","Recompensa Sinistra","Grim Bounty","1","M","EN","C","B","","106",""
"","Adventures in the Forgotten Realms","afr","Reversao das Parcas","Fates' Reversal","1","M","EN","C","B","","102",""
"","Adventures in the Forgotten Realms","afr","Sacerdote da Morte de Myrkul","Death-Priest of Myrkul","1","M","EN","U","B","","95",""
"","Adventures in the Forgotten Realms","afr","Sacerdote da Sabedoria Antiga","Priest of Ancient Lore","1","M","EN","C","W","","35",""
"","Adventures in the Forgotten Realms","afr","Sentinela do Ouvido Agucado","Keen-Eared Sentry","1","NM","EN","U","W","","22",""
"","Adventures in the Forgotten Realms","afr","Shessra, Sussurrante da Morte","Shessra, Death's Whisper","1","NM","EN","U","M","","231",""
"","Adventures in the Forgotten Realms","afr","Simular Morte","Feign Death","1","M","EN","C","B","","103",""
"","Adventures in the Forgotten Realms","afr","Sono Encantado","Charmed Sleep","1","NM","PT","C","U","","50",""
"","Adventures in the Forgotten Realms","afr","Sorte Inesperada","Unexpected Windfall","1","M","EN","C","R","","164",""
"","Adventures in the Forgotten Realms","afr","Talisma do Ceifador","Reaper's Talisman","1","M","EN","U","B","","117",""
"","Adventures in the Forgotten Realms","afr","Talisma do Trapaceiro","Trickster's Talisman","1","M","EN","U","U","","79",""
"","Adventures in the Forgotten Realms","afr","Targ Nar, Gnoll da Presa Demoniaca","Targ Nar, Demon-Fang Gnoll","1","NM","EN","U","M","","234",""
"","Adventures in the Forgotten Realms","afr","Terras em Desenvolvimento","Evolving Wilds","1","M","EN","C","L","","256",""
"","Adventures in the Forgotten Realms","afr","Tesouro","Treasure","1","M","EN","C","A","","T15",""
"","Adventures in the Forgotten Realms","afr","Tiamat","Tiamat","1","M","EN","M","M","","235",""
"","Adventures in the Forgotten Realms","afr","Tocha do Espeleologo","Delver's Torch","1","M","EN","C","W","","10",""
"","Adventures in the Forgotten Realms","afr","Tombar","Plummet","1","M","EN","C","G","","199",""
"","Adventures in the Forgotten Realms","afr","Toque Chocante","Shocking Grasp","1","M","EN","C","U","","72",""
"","Adventures in the Forgotten Realms","afr","Trelasarra, Dancarina da Lua","Trelasarra, Moon Dancer","1","M","EN","U","M","","236",""
"","Adventures in the Forgotten Realms","afr","Trol Odioso","Loathsome Troll","1","NM","PT","U","G","","192",""
"","Adventures in the Forgotten Realms","afr","Trovadora Errante","Wandering Troubadour","1","NM","PT","U","G","","210",""
"","Adventures in the Forgotten Realms","afr","Tumba da Aniquilacao (Oversize)","Tomb of Annihilation (Oversize)","1","M","EN","C","S","","TOV22",""
"","Adventures in the Forgotten Realms","afr","Unicornio Celestial","Celestial Unicorn","1","M","EN","C","W","","5",""
"","Adventures in the Forgotten Realms","afr","Verme Purpura","Purple Worm","1","NM","PT","U","G","","201",""
"","Adventures in the Forgotten Realms","afr","Veterana do Arsenal","Armory Veteran","1","NM","PT","C","R","","130",""
"","Adventures in the Forgotten Realms","afr","Voces Acham um Acampamento de Gnolls","You Come to the Gnoll Camp","1","NM","PT","C","R","","168",""
"","Adventures in the Forgotten Realms","afr","Voces Chegam a um Rio","You Come to a River","1","M","EN","C","U","","83",""
"","Adventures in the Forgotten Realms","afr","Voces Descobrem uma Clareira","You Happen On a Glade","1","NM","EN","U","G","","214",""
"","Adventures in the Forgotten Realms","afr","Voces Encontram o Covil do Vilao","You Find the Villains' Lair","1","M","EN","C","U","","84",""
"","Adventures in the Forgotten Realms","afr","Voces Encontram um Idolo Amaldicoado","You Find a Cursed Idol","1","M","EN","C","G","","213",""
"","Adventures in the Forgotten Realms","afr","Voces Ouvem Algo Enquanto Vigiam","You Hear Something on Watch","1","M","EN","C","W","","42",""
"","Adventures in the Forgotten Realms","afr","Voces Sao Emboscados na Estrada","You're Ambushed on the Road","1","NM","PT","C","W","","43",""
"","Adventures in the Forgotten Realms","afr","Voces se Encontram numa Taverna","You Meet in a Tavern","1","NM","PT","U","G","","215",""
"","Adventures in the Forgotten Realms","afr","Voces Veem Dois Goblins","You See a Pair of Goblins","1","NM","EN","U","R","","170",""
"","Adventures in the Forgotten Realms","afr","Voces Veem um Guarda se Aproximando","You See a Guard Approach","1","M","EN","C","U","","85",""
"","Adventures in the Forgotten Realms","afr","Volo, Guia dos Monstros","Volo, Guide to Monsters","1","M","EN","R","M","","238",""
"","Adventures in the Forgotten Realms","afr","Yuan-Ti Mestico","Yuan-Ti Malison","1","NM","EN","R","U","","86",""
"","Adventures in the Forgotten Realms","afr","Zagaieiro Goblin","Goblin Javelineer","1","NM","PT","C","R","","144",""
"","Adventures in the Forgotten Realms","afr","Zalto, Duque Gigante do Fogo","Zalto, Fire Giant Duke","1","M","EN","R","R","","171",""
"","Adventures in the Forgotten Realms","afr","Zumbi 2/2","Zombie 2/2","1","M","EN","C","B","","T09",""
"","Adventures in the Forgotten Realms","afr","Zumbi Ogro","Zombie Ogre","1","M","EN","C","B","","129",""
"","Adventures in the Forgotten Realms (Promo)","prafr","Bau de Tesouro","Treasure Chest","1","M","EN","R","A","","397",""
"","Adventures in the Forgotten Realms (Promo)","prafr","Misseis Magicos","Magic Missile","1","NM","PT","U","R","","401",""
"Adventures in the Forgotten Realms (Variantes)","Adventures in the Forgotten Realms (Variants)","cbafr","Barrowin do Cla Undurr","Barrowin of Clan Undurr","1","M","EN","U","M","","336",""
"Adventures in the Forgotten Realms (Variantes)","Adventures in the Forgotten Realms (Variants)","cbafr","Basilisco do Subterraneo","Underdark Basilisk","1","M","EN","C","G","","334",""
"Adventures in the Forgotten Realms (Variantes)","Adventures in the Forgotten Realms (Variants)","cbafr","Bruenor Martelo de Batalha","Bruenor Battlehammer","1","M","EN","U","M","","337",""
"Adventures in the Forgotten Realms (Variantes)","Adventures in the Forgotten Realms (Variants)","cbafr","Bugurso Brutamontes","Hulking Bugbear","1","M","EN","U","R","","319",""
"Adventures in the Forgotten Realms (Variantes)","Adventures in the Forgotten Realms (Variants)","cbafr","Bulete","Bulette","1","M","EN","C","G","","324",""
"Adventures in the Forgotten Realms (Variantes)","Adventures in the Forgotten Realms (Variants)","cbafr","Cacador Gnoll","Gnoll Hunter","1","M","EN","C","G","","326",""
"Adventures in the Forgotten Realms (Variantes)","Adventures in the Forgotten Realms (Variants)","cbafr","Cao Teleportador","Blink Dog","1","M","EN","U","W","","300",""
"Adventures in the Forgotten Realms (Variantes)","Adventures in the Forgotten Realms (Variants)","cbafr","Colmeia do Olho Tirano","Hive of the Eye Tyrant","1","M","EN","R","L","","355",""
"Adventures in the Forgotten Realms (Variantes)","Adventures in the Forgotten Realms (Variants)","cbafr","Djinni Vidente do Vento","Djinni Windseer","1","M","EN","C","U","","306",""
"Adventures in the Forgotten Realms (Variantes)","Adventures in the Forgotten Realms (Variants)","cbafr","Dragao Branco","White Dragon","1","NM","EN","U","W","","288",""
"Adventures in the Forgotten Realms (Variantes)","Adventures in the Forgotten Realms (Variants)","cbafr","Dragao Negro","Black Dragon","1","NM","EN","U","B","","291",""
"Adventures in the Forgotten Realms (Variantes)","Adventures in the Forgotten Realms (Variants)","cbafr","Dragao Vermelho","Red Dragon","1","NM","EN","U","R","","294",""
"Adventures in the Forgotten Realms (Variantes)","Adventures in the Forgotten Realms (Variants)","cbafr","Driade de Nevenunca","Neverwinter Dryad","1","M","EN","C","G","","329",""
"Adventures in the Forgotten Realms (Variantes)","Adventures in the Forgotten Realms (Variants)","cbafr","Esfera de Aniquilacao","Sphere of Annihilation","1","NM","EN","R","B","","376",""
"Adventures in the Forgotten Realms (Variantes)","Adventures in the Forgotten Realms (Variants)","cbafr","Espreitador Lobo Atroz","Dire Wolf Prowler","1","M","EN","C","G","","325",""
"Adventures in the Forgotten Realms (Variantes)","Adventures in the Forgotten Realms (Variants)","cbafr","Esqueletos Chocalhantes","Clattering Skeletons","1","M","EN","C","B","","312",""
"Adventures in the Forgotten Realms (Variantes)","Adventures in the Forgotten Realms (Variants)","cbafr","Estrangulador a Espreita","Lurking Roper","1","M","EN","U","G","","328",""
"Adventures in the Forgotten Realms (Variantes)","Adventures in the Forgotten Realms (Variants)","cbafr","Farideh, Escolhida do Diabo","Farideh, Devil's Chosen","1","M","EN","U","M","","339",""
"Adventures in the Forgotten Realms (Variantes)","Adventures in the Forgotten Realms (Variants)","cbafr","Gargula do Claustro","Cloister Gargoyle","1","M","EN","U","W","","302",""
"Adventures in the Forgotten Realms (Variantes)","Adventures in the Forgotten Realms (Variants)","cbafr","Giganta do Gelo do Crioscudo","Rimeshield Frost Giant","1","M","EN","C","U","","310",""
